brand,model,price_egp,cpu,cpu_cores,cpu_max_speed,cpu_score,gpu,vram,ram,hard_capacity,display_size,refresh_rates,resolution,warranty,warranty_duration,windows_11,seller,link_to_product
HP,Victus 16-E1012NE,"46,444",AMD Ryzen 7 6800H,8,4.7,"23,001",NVIDIA GeForce RTX 3050,4,16,512GB,16.1,144Hz,1920x1200,1,1,0,kimostore,https://kimostore.net/products/hp-victus-16-e1012ne-gaming-laptop-amd-ryzen-7-6800h-16gb-ram-m-2-nvme-512gb-nvidia-rtx-3050-4gb-16-1-inch-fhd-ips-144hz-mica-silver?_pos=2&_fid=80ebf0845&_ss=c
ASUS,Vivobook S 14 Flip TP3402VA-EG009W,"46,000",Intel Core i9 13900H,14,5.4,"27,597",Intel UHD Graphics,0,16,512GB,14,60Hz,1920x1200,1,1,1,kimostore,https://kimostore.net/products/asus-vivobook-s-14-flip-tp3402va-eg009w-laptop-intel-core-i9-13900h-16gb-ram-m-2-nvme-1tb-intel-uhd-graphics-14-0-inch-wuxga-ips-60hz-win11?_pos=4&_fid=80ebf0845&_ss=c
HP,Victus 15-fa1006ne,"46,000",Intel Core i7 13700H,14,5,"26,315",NVIDIA GeForce RTX 3050,6,16,512GB,15.6,144Hz,1920x1080,1,1,1,Dream 2000,https://dream2000.com/en/hp-victus-gaming-laptop-intelr-coretm-i7-13700h-16gb-ram-512gb-ssd-nvidiar-geforce-rtxtm-3050-6gb-15-6-fhd-win-11-15-fa1006ne-performance-blue.html
Asus,TUF F15 FX507VU-LP163W 90NR0CJ8-M00AL0,"46,000.00",Intel Core i7 13620H,10,4.9,"24,111",NVIDIA GeForce RTX 4050,6,16,512GB,15.6,144Hz,1920x1080,1,1,1,TECHNOLOGYVALLEY,https://tv-it.com/products/laptop-asus-tuf-gamimg-fx507vu-lp163w
HP,Victus 15-fa1006ne,"45,999",Intel Core i7 13700H,14,5,"26,315",NVIDIA GeForce RTX 3060,6,16,512GB,15.6,144Hz,1920x1080,1,1,1,2B,https://2b.com.eg/en/offer/hp-victus-15-fa1006ne-laptop-intelr-coretm-i7-13700h-16gb-512gb-ssd-nvidiar-geforce-rtx-3050-6gb-15-6-fhd-win11-blue.html
Lenovo,LOQ 15IRX9,"45,999",Intel Core i7 13650HX,14,4.9,"30,649",NVIDIA GeForce RTX 4050,6,16,512GB,15.6,144Hz,1920x1080,1,0,0,EGYPTLAPTOP,https://egyptlaptop.com/laptops/lenovo-loq-15irx9-intel-core-i7-13650hx-512gb-ssd-16gb-ram-nvidia-geforce-rtx-4050-6gb-15-6-inch-fhd
Asus,Tuf Gaming A15 FA507NUR-LP007W,"45,999",AMD Ryzen 7 7435HS,8,4.5,"23,314",NVIDIA GeForce RTX 4050,6,16,512GB,15.6,144Hz,1920x1080,1,1,1,Dream 2000,https://dream2000.com/en/asus-tuf-gaming-a15-fa507nur-lp007w-gaming-laptop-amd-ryzentm-7-7435hs-16gb-ram-512gb-ssd-nvidiar-geforce-rtxtm-4050-6gb-15-6-fhd-144hz-win11-jaeger-gray.html
ASUS,TUF Gaming A15 FA507NUR-LP007W,"45,999",AMD Ryzen 7 7435HS,8,4.5,"23,314",NVIDIA GeForce RTX 4050,6,16,512GB,15.6,60Hz,1920x1080,1,1,1,RAYA,https://www.rayashop.com/en/asus-tuf-gaming-a15-fa507nur-lp007w-laptop-amd-ryzen-7-7435hs-processor-156-inch-fhd-display-512-gb-ssd-16-gb-ram-ddr5-nvidia-geforce-rtx-4050-6-gb-graphics-win11-grey-90nr0jp8-m001k0-zu-29-2-2b-1
MSI,Thin 15 A B7VF 9S7-16RK11-422,"45,599",AMD Ryzen 7 7735HS,8,4.75,"23,105",NVIDIA GeForce RTX 4060,8,16,512GB,15.6,144Hz,1920x1080,1,2,0,2B,https://2b.com.eg/en/msi-thin-15-a-b7vf-laptop-amd-r7-7735hs-16gb-512gb-ssd-nvidiar-geforce-rtx-4060-8gb-15-6-fhd-144hz-gray.html
MSI,Thin A15 B7VF 9S7-16RK11-422,"45,599",AMD Ryzen 7 7735HS,8,4.75,"23,105",NVIDIA GeForce RTX 4060,8,16,512GB,15.6,144Hz,1920x1080,1,2,0,RAYA,https://www.rayashop.com/en/msi-thin-a15-b7vf-gaming-laptop-amd-ryzen-7-7735hs-processor-156-inch-fhd-display-512-gb-ssd-16-gb-ram-ddr5-nvidia-geforce-rtx-4060-8-gb-graphics-dos-black-9s7-16rk11-422-2
HP,Victus 15-fa1007ne 7Q771EA#ABV,"45,499",Intel Core i7 13700H,14,5,"26,315",NVIDIA GeForce RTX 3050,6,16,512GB,15.6,144Hz,1920x1080,1,1,1,2B,https://2b.com.eg/en/hp-victus-15-fa1007ne-laptop-intelr-core-i7-13700h-16gb-512gb-ssd-nvidiar-geforcer-rtx-3050-6gb-15-6-fhd-144hz-win11-mica-silver.html
Lenovo,Ideapad Slim 5 16IMH9 83DC003UED,"45,399",Intel Core Ultra 7 155H,16,4.8,"24,822",Intel Arc Graphics,0,16,512GB,16,60Hz,1920x1200,1,1,1,Dream 2000,https://dream2000.com/en/lenovo-ideapad-slim-5-16imh9-83dc003ued-intelr-coretm-ultra-7-155h-16gb-ram-512gb-ssd-intelr-arc-graphics-16-wuxga-win11-cloud-grey.html
Lenovo,LOQ 15IRX9,"44,999",Intel Core i7 13650HX,14,4.9,"30,649",NVIDIA GeForce RTX 4050,6,24,512GB,15.6,144Hz,1920x1080,1,1,0,kimostore,https://kimostore.net/products/lenovo-loq-15irx9-laptop-intel-core-i7-13650hx-24gb-ram-m-2-nvme-512gb-nvidia-rtx-4050-6gb-15-6-inch-fhd-ips-144hz-luna-grey?_pos=8&_fid=80ebf0845&_ss=c
Lenovo,LOQ 15IRX9,"44,899",Intel Core i7 13650HX,14,4.9,"30,649",NVIDIA GeForce RTX 3050,6,24,512GB,15.6,144Hz,1920x1080,0,0,0,EGYPTLAPTOP,https://egyptlaptop.com/laptops/lenovo-loq-15irx9-gaming-laptop-intel-core-i7-13650hx-512gb-ssd-24gb-ram-nvidia-geforce-rtx-3050-6gb-15-6-inch-fhd-grey
Acer,Nitro V15 ANV15-51-767G,"44,399",Intel Core i7 13620H,10,4.9,"24,111",NVIDIA GeForce RTX 3050,6,16,512GB,15.6,60Hz,1920x1080,1,2,1,2B,https://2b.com.eg/en/acer-nitro-v15-anv15-51-767g-laptop-intelr-coretm-i7-13620h-16gb-512gb-ssd-nvidiar-geforcer-rtx-3050-6gb-15-6-fhd-win11-finger-print-black.html
HP,Victus 15-FA1038NE,"43,999",Intel Core i7 13700H,14,5,"26,315",NVIDIA GeForce RTX 3050,6,8,512GB,15.6,144Hz,1920x1080,1,1,0,kimostore,https://kimostore.net/products/hp-victus-15-fa1038ne-gaming-laptop-intel-core-i7-13700h-8gb-ram-m-2-nvme-512gb-nvidia-rtx-3050-6gb-15-6-inch-fhd-ips-144hz-performance-blue?_pos=24&_fid=80ebf0845&_ss=c
Dell,G15-5530,"43,999",Intel Core i5 13450HX,10,4.6,"25,038",NVIDIA GeForce RTX 3050,6,16,512GB,15.6,120Hz,1920x1080,1,1,1,Dream 2000,https://dream2000.com/en/dell-g15-5530-i5-13450hx-intelr-coretm-i5-13450hx-16gb-ram-512ssd-rtx-3050-15-6-inch-fhd-gray.html
Dell,G15 5530,"43,999",Intel Core i5 13450HX,10,4.6,"25,038",NVIDIA GeForce RTX 3050,6,16,512GB,15.6,120Hz,1920x1080,1,1,0,RAYA,https://www.rayashop.com/en/dell-g15-5530-gaming-laptop-intel-core-i5-13450hx-processor-156-inch-fhd-display-512-gb-ssd-16-gb-ram-ddr5-nvidia-geforce-rtx-3050-6-gb-graphics-ubuntu-grey-1
Lenovo,LOQ Essential 15IAX9E 83LK0061ED,"43,799",Intel Core i7 12650HX,14,4.7,"22,526",NVIDIA GeForce RTX 4050,6,16,512GB,15.6,144Hz,1920x1080,1,2,0,2B,https://2b.com.eg/en/lenovo-loq-e-15iax9e-laptop-intelr-coretm-i7-12650hx-16gb-512gb-ssd-nvidiar-geforce-rtx-4050-6gb-15-6-fhd-win11-grey.html
Hp,Victus Gaming 15-FA1038NE,"43,000",Intel Core i7 13700H,14,5,"26,315",NVIDIA GeForce RTX 3050,6,8,512GB,15.6,144Hz,1920x1080,1,1,1,Dream 2000,https://dream2000.com/en/hp-victus-gaming-15-fa1038ne-intelr-coretm-i7-13700h-8gb-ram-512gb-rtx3050-15-6-fhd-blue.html
Hp,Victus Gaming 15-fa1039ne,"43,000",Intel Core i7 13700H,14,5,"26,315",NVIDIA GeForce RTX 3050,6,8,512GB,15.6,144Hz,1920x1080,1,1,1,Dream 2000,https://dream2000.com/en/hp-victus-gaming-15-fa1039ne-intelr-coretm-i7-13700h-8gb-ram-512gb-rtx3050-15-6-fhd-mica-silver.html
ASUS,TUF F16 FX607VU-RL805W,"42,500",Intel Core 5 210H,8,4.8,"19,076",NVIDIA GeForce RTX 4050,6,8,512GB,16,144Hz,1920x1200,1,1,1,Dream 2000,https://dream2000.com/en/asus-tuf-f16-gaming-laptop-intelr-coretm-5-210h-8gb-ram-512gb-ssd-nvidiar-geforce-rtxtm-4050-16-0-fhd-win11-fx607vu-rl805w-mecha-gray.html
HP,Victus 15-FA1021NIA,"42,444",Intel Core i7 13700H,14,5,"26,315",NVIDIA GeForce RTX 3050,6,16,512GB,15.6,144Hz,1920x1080,1,1,0,kimostore,https://kimostore.net/products/hp-victus-15-fa1021nia-gaming-laptop-intel-core-i7-13700h-8gb-ram-m-2-nvme-512gb-nvidia-rtx-3050-6gb-15-6-inch-fhd-ips-144hz-mica-silver?_pos=27&_fid=1f76ba906&_ss=c
Hp,Pavilion x360,"42,399",Intel Core i7 1355U,10,5,"14,247",Intel Iris XE Graphics,0,16,512GB,14,60Hz,1920x1080,0,0,1,B.TECH,https://beta.btech.com/en/p/hp-pavilion-x360-2in1-laptop-14-inch-fhd-display-natural-silver/50649316-7854-4d90-8e6c-814b70d566ac
Lenovo,LOQ 15IRX9 83DV010KED,"41,999.00",Intel Core i7 13650HX,14,4.9,"30,649",NVIDIA GeForce RTX 3050,6,24,512GB,15.6,144Hz,1920x1080,1,2,0,TECHNOLOGYVALLEY,https://tv-it.com/products/lenovo-loq-15irx9-gaming-laptop-83dv010ked
MSI,Thin 15 B13VE,"41,999",Intel Core i7 13620H,10,4.9,"24,111",NVIDIA GeForce RTX 4050,6,16,512GB,15.6,144Hz,1920x1080,1,1,1,Dream 2000,https://dream2000.com/en/msi-thin-15-b13ve-gaming-laptop-intelr-coretm-i7-13620h-16gb-ram-512gb-ssd-nvidiar-geforce-rtxtm-4050-6gb-15-6-fhd-cosmos-grey.html
Lenovo,LOQ 15IRX9,"41,499",Intel Core i7 13650HX,14,4.9,"30,649",NVIDIA GeForce RTX 3050,6,16,512GB,15.6,144Hz,1920x1080,1,0,0,EGYPTLAPTOP,https://egyptlaptop.com/laptops/lenovo-loq-15irx9-intel-core-i7-13650hx-512gb-ssd-16gb-ram-nvidia-geforce-rtx-3050-6gb-15-6-inch-fhd
Lenovo,LOQ 15IRX9 83DV012HED,"40,999",Intel Core i5 13450HX,10,4.6,"25,038",NVIDIA GeForce RTX 3050,6,24,512GB,15.6,144Hz,1920x1080,1,1,1,Dream 2000,https://dream2000.com/en/lenovo-loq-15irx9-gaming-laptop-intelr-coretm-i5-13450hx-24gb-512gb-ssd-nvidiar-geforce-rtxtm-3050-6gb-15-6-fhd-83dv012hed-luna-grey.html
ASUS,V16 V3607VJ-RP007W 90NB15V1-M007B0,"40,999.00",Intel Core 7 240H,10,5.2,"24,908",NVIDIA GeForce RTX 3050,6,16,512GB,16,144Hz,1920x1200,1,1,1,TECHNOLOGYVALLEY,https://tv-it.com/products/asus-v16-v3607vj-rp007w-laptop
ASUS,TUF F16 2024 FX607VJ-RL165W,"40,999",Intel Core 5 210H,8,4.8,"19,076",NVIDIA GeForce RTX 3050,6,16,512GB,16,165Hz,1920x1200,0,0,1,B.TECH,https://beta.btech.com/en/p/asus-tuf-f16-2024-fx607vj-rl165w-gaming-laptop-16-inch-wuxga-ips-mecha-grey/c03fc6fc-2f51-43c0-b85d-e798e93b1eab
Lenovo,LOQ 15IRX9 83DV00FYUS,"40,999",Intel Core i5 13450HX,10,4.6,"25,038",NVIDIA GeForce RTX 4050,6,12,512GB,15.6,144Hz,1920x1080,1,1,1,RAYA,https://www.rayashop.com/en/lenovo-loq-15irx9-gaming-laptop-intel-core-i5-13450hx-processor-156-inch-fhd-display-512-gb-ssd-12-gb-ram-ddr5-nvidia-geforce-rtx-4050-6-gb-graphics-win11-home-luna-grey-83dv00fyus-83dv00fyus
Lenovo,LOQ 15IRX9 83DV012HED,"40,699",Intel Core i5 13450HX,10,4.6,"25,038",NVIDIA GeForce RTX 3050,6,24,512GB,15.6,144Hz,1920x1080,1,2,0,2B,https://2b.com.eg/en/lenovo-loq-15irx9-laptop-intelr-coretm-i5-13450hx-24gb-512gb-ssd-nvidiar-geforce-rtx-3050-6gb-15-6-fhd-144hz-luna-grey.html
ASUS,TUF Gaming F16 FX607VU-RL805W 90NR0N06-M008L0,"40,600.00",Intel Core 5 210H,8,4.8,"19,076",NVIDIA GeForce RTX 4050,6,8,512GB,16,144Hz,1920x1200,1,1,1,TECHNOLOGYVALLEY,https://tv-it.com/products/asus-tuf-gaming-f16-fx607vu-rl805w-gaming-laptop-90nr0n06-m008l0
Lenovo,LOQ 15IRX9,"40,399",Intel Core i7 13650HX,14,4.9,"30,649",NVIDIA GeForce RTX 3050,6,24,512GB,15.6,144Hz,1920x1080,1,2,0,kimostore,https://kimostore.net/products/lenovo-loq-15irx9-laptop-intel-core-i7-13650hx-24gb-ram-m-2-nvme-512gb-nvidia-rtx-3050-6gb-15-6-inch-fhd-ips-144hz-cam-luna-grey?_pos=10&_fid=80ebf0845&_ss=c
Lenovo,LOQ 15IRX9,"39,999.00",Intel Core i7 13650HX,14,4.9,"30,649",NVIDIA GeForce RTX 3050,6,16,512GB,15.6,144Hz,1920x1080,1,1,0,compuscience,https://compuscience.com.eg/en/laptop/3660-1485-lenovo-loq-15irx9-intel-core-i7-13650hx-16gb-ssd-512-gb-rtx-3050-6gb-156-fhd-144hz-luna-grey.html#/72-payment_plan-cash
Lenovo,LOQ 15IRX9 83DV008QED,"39,999.00",Intel Core i7 13650HX,14,4.9,"30,649",NVIDIA GeForce RTX 3050,6,16,512GB,15.6,144Hz,1920x1080,1,2,0,TECHNOLOGYVALLEY,https://tv-it.com/products/lenovo-loq-15irx9-gaming-laptop-83dv008qed
ASUS,TUF Gaming V16 V3607VJ-RP007W,"39,999",Intel Core 7 240H,10,5.2,"24,908",NVIDIA GeForce RTX 3050,6,16,512GB,16,144Hz,1920x1200,1,1,1,kimostore,https://kimostore.net/products/asus-tuf-gaming-v16-v3607vj-rp007w-laptop-intel-core-7-240h-16gb-ram-m-2-nvme-512gb-nvidia-rtx-3050-6gb-16-0-inch-fhd-ips-win11?_pos=15&_fid=80ebf0845&_ss=c
HP,Victus 16-R1029NIA,"39,999",Intel Core i5 14450HX,10,4.8,"24,122",NVIDIA GeForce RTX 3050,6,16,1TB,16.1,144Hz,1920x1080,1,1,0,kimostore,https://kimostore.net/products/hp-victus-16-r1029nia-gaming-laptop-intel-core-i5-14450hx-16gb-ram-m-2-1tb-nvidia-geforce-rtx-3050-6gb-16-1-inch-fhd-ips-144hz?_pos=16&_fid=80ebf0845&_ss=c
HP,Victus 16-R1032NIA,"39,999",Intel Core i5 14450HX,10,4.8,"24,122",NVIDIA GeForce RTX 3050,6,16,1TB,16.1,144Hz,1920x1080,1,1,0,kimostore,https://kimostore.net/products/hp-victus-16-r1032nia-gaming-laptop-intel-core-i5-14450hx-16gb-ram-ssd-1tb-nvidia-geforce-rtx-3050-6gb-16-1-inch-fhd-ips-144hz-silver?_pos=30&_fid=1f76ba906&_ss=c
ASUS,TUF Gaming F16 FX607VJ-RL165W,"39,999",Intel Core 5 210H,8,4.8,"19,076",NVIDIA GeForce RTX 3050,6,16,512GB,16,144Hz,2560x1600,1,1,1,kimostore,https://kimostore.net/products/asus-tuf-gaming-f16-fx607vj-rl165w-laptop-intel-core-5-210h-16gb-ram-m-2-nvme-512gb-nvidia-rtx-3050-6gb-16-0-inch-fhd-ips-win11?_pos=33&_fid=1f76ba906&_ss=c
Acer,Nitro V15 ANV15-51-58PQ,"39,899",Intel Core i5 13420H,8,4.6,"17,401",NVIDIA GeForce RTX 3050,6,16,512GB,15.6,60Hz,1920x1080,1,2,1,2B,https://2b.com.eg/en/acer-nitro-v15-anv15-51-58pq-laptop-intelr-coretm-i5-13420h-16gb-512gb-ssd-nvidiar-geforcer-rtx-3050-6gb-15-6-fhd-win11-finger-print-black.html
Acer,Nitro V 15 ANV15-51-767G NH.QNCEM.00M,"39,000.00",Intel Core i7 13620H,10,4.9,"24,111",NVIDIA GeForce RTX 3050,6,16,512GB,15.6,165Hz,1920x1080,1,2,1,TECHNOLOGYVALLEY,https://tv-it.com/products/acer-nitro-v-15-anv15-51-767g-laptop-nhqncem00m
HP,Victus 15-FA0025NR,"38,999",Intel Core i5 12500H,12,4.5,"20,584",NVIDIA GeForce RTX 3050,4,8,512GB,15.6,60Hz,1920x1080,1,1,1,2B,https://2b.com.eg/en/hp-victus-15-fa0025nr-laptop-intelr-core-i5-12500h-8gb-512gb-ssd-nvidiar-geforcer-rtx-3050-4gb-15-6-fhd-win11-mica-silver.html
Lenovo,ThinkPad E16 Gen 1,"38,888",Intel Core I7 1355U,10,5,"14,247",Intel UHD Graphics,0,8,512GB,16,60Hz,1920x1200,1,1,0,EGYPTLAPTOP,https://egyptlaptop.com/laptops/lenovo-thinkpad-e16-gen-1-intel-core-i7-1355u-512gb-ssd-8gb-ram-intel-uhd-graphics-16-inch-wuxga-graphite-black
HP,Victus 15-FA1043NE,"38,888",Intel Core i5 13500H,12,4.7,"21,271",NVIDIA GeForce RTX 3050,4,8,512GB,15.6,144Hz,1920x1080,1,1,0,EGYPTLAPTOP,https://egyptlaptop.com/laptops/hp-victus-15-fa1043ne-intel-core-i5-13500h-512gb-ssd-8gb-ram-nvidia-geforce-rtx-3050-6gb-15-6-inch-fhd
HP,Victus 15-FA1082WM,"38,888",Intel Core i5 13420H,8,4.6,"17,401",NVIDIA GeForce RTX 4050,6,16,512GB,15.6,144Hz,1920x1080,1,1,1,EGYPTLAPTOP,https://egyptlaptop.com/laptops/hp-victus-15-fa1082wm-gaming-laptop-intel-core-i5-13420h-512gb-ssd-16gb-ram-nvidia-geforce-rtx-4050-6gb-15-6-inch-fhd-win-11-mica-silver
MSI,Thin 15 B13VE 9S7-16R831-2614,"38,699",Intel Core i7 13620H,10,4.9,"24,111",NVIDIA GeForce RTX 4050,6,16,512GB,15.6,144Hz,1920x1080,1,1,0,2B,https://2b.com.eg/en/msi-thin-15-b13ve-laptop-intelr-coretm-i7-13620h-16gb-512gb-ssd-nvidiar-geforce-rtxtm-4050-6gb-15-6-fhd-144hz-cosmos-gray.html
MSI,Thin 15 B13VE,"38,699",Intel Core i7 13620H,10,4.9,"24,111",NVIDIA GeForce RTX 4050,6,16,512GB,15.6,144Hz,1920x1080,1,2,0,EGYPTLAPTOP,https://egyptlaptop.com/laptops/msi-thin-15-b13ve-gaming-laptop-intel-core-i7-13620h-512gb-ssd-16gb-ram-nvidia-geforce-rtx-4050-15-6-fhd-cosmos-grey
MSI,Thin 15 B13VE 9S7-16R831-2614,"38,699.00",Intel Core i7 13620H,10,4.9,"24,111",NVIDIA GeForce RTX 4050,6,16,512GB,15.6,144Hz,1920x1080,0,0,0,TECHNOLOGYVALLEY,https://tv-it.com/products/msi-thin-15-b13ve-gaming-laptop-9s7-16r831-2614
MSI,Thin A15 B7VE 9S7-16RK11-423,"38,399",AMD Ryzen 7 7735HS,8,4.75,"23,105",NVIDIA GeForce RTX 4050,6,16,512GB,15.6,144Hz,1920x1080,1,2,0,RAYA,https://www.rayashop.com/en/msi-thin-a15-b7ve-gaming-laptop-amd-ryzen-7-7735hs-processor-156-inch-fhd-display-512-gb-ssd-16-gb-ram-ddr5-nvidia-geforce-rtx-4050-6-gb-graphics-dos-black-9s7-16rk11-423-3
Lenovo,LOQ Essential 83LK0071ED,"38,399",Intel Core i5 12450HX,8,4.4,"18,233",NVIDIA GeForce RTX 4050,6,16,512GB,15.6,144Hz,1920x1080,1,1,1,Dream 2000,https://dream2000.com/en/lenovo-loq-15iax9e-gaming-laptop-intelr-coretm-i5-12450hx-16gb-ram-512gb-ssd-rtx-4050-15-6-fhd-luna-grey.html
MSI,Thin 15 A B7VE,"37,999",AMD Ryzen 7 7735HS,8,4.75,"23,105",NVIDIA GeForce RTX 4050,6,16,512GB,15.6,144Hz,1920x1080,1,1,0,Dream 2000,https://dream2000.com/en/msi-thin-15-a-b7vf-laptop-ryzen-7-7735hs-16gb-ram-512gb-ssd-rtx-4050-6gb-15-6-fhd-144hz-cosmos-gray.html
HP,Victus 15-FA1041NE,"37,666",Intel Core i5 13500H,12,4.7,"21,271",NVIDIA GeForce RTX 3050,6,16,512GB,15.6,144Hz,1920x1080,1,1,0,EGYPTLAPTOP,https://egyptlaptop.com/laptops/hp-victus-15-fa1041ne-gaming-laptop-intel-core-i5-13500h-512gb-ssd-16gb-ram-nvida-geforce-rtx-3050-15-6-inch-fhd-performance-blue
MSI,Cyborg 15 A13UDX 9S7-15K111-1833,"37,500.00",Intel Core i7 13620H,10,4.9,"24,111",NVIDIA GeForce RTX 3050,6,16,512GB,15.6,144Hz,1920x1080,0,0,0,TECHNOLOGYVALLEY,https://tv-it.com/products/msi-cyborg-15-a13udx-gaming-laptop-9s7-15k111-1833
Asus,TUF Gaming F15 FX507ZC4-HN081W 90NR0GW1-M007L0,"37,500.00",Intel Core i5 12500H,12,4.5,"20,584",NVIDIA GeForce RTX 3050,4,8,512GB,15.6,144Hz,1920x1080,1,1,1,TECHNOLOGYVALLEY,https://tv-it.com/products/laptop-asus-fx507zc4-hn081w-ci5-12500h-8g-512gssd-nividia-geforce-rtx-3050-156-inch-fhd-144hz-win11
HP,Victus 15-FA1041NE,"37,399",Intel Core i5 13500H,12,4.7,"21,271",NVIDIA GeForce RTX 3050,6,8,512GB,15.6,144Hz,1920x1080,1,1,0,kimostore,https://kimostore.net/products/hp-victus-15-fa1041ne-gaming-laptop-intel-core-i5-13500h-8gb-ram-m-2-nvme-512gb-nvidia-rtx-3050-6gb-15-6-inch-fhd-ips-144hz-blue?_pos=11&_fid=80ebf0845&_ss=c
Lenovo,ThinkPad E16 Gen 1,"36,999",Intel Core i5 13420H,8,4.6,"17,401",Intel UHD Graphics,0,8,512GB,16,60Hz,1920x1200,1,1,0,EGYPTLAPTOP,https://egyptlaptop.com/laptops/lenovo-thinkpad-e16-gen-1-business-laptop-intel-core-i5-13420h-512gb-ssd-8gb-ram-intel-uhd-graphics-16-inch-wuxga-graphite-black
Lenovo,LOQ 15IAX9 83GS00RXED,"36,999",Intel Core i5 12600HX,12,4.6,"24,467",NVIDIA GeForce RTX 3050,6,12,512GB,15.6,144Hz,1920x1080,0,0,0,B.TECH,https://beta.btech.com/en/p/lenovo-loq-15iax9-83gs00rxed-laptop-15-6-inch-fhd-ips-display-luna-grey-with-m100-gaming-mouse/842bafb1-f634-4a0c-bac3-47f3299c20a3
Lenovo,LOQ 15IAX9,"36,999",Intel Core i5 12600HX,12,4.6,"24,467",NVIDIA GeForce RTX 3050,6,12,512GB,15.6,144Hz,1920x1080,1,1,1,Dream 2000,https://dream2000.com/en/lenovo-loq-15iax9-gaming-laptop-intelr-core-i5-12600hx-12gb-ram-512gb-ssd-nvidiar-geforce-rtxtm-3050-6gb-15-6-fhd-83gs00rxed-luna-grey.html
Asus,TUF Gaming A15 FA506NCR-HN007W,"36,999",AMD Ryzen 7 7435HS,8,4.5,"23,314",NVIDIA GeForce RTX 3050,4,8,512GB,15.6,144Hz,1920x1080,1,1,1,Dream 2000,https://dream2000.com/en/asus-tuf-gaming-a15-fa506ncr-hn007w-amd-ryzen-7-7435hs-8gb-ram-512gb-ssd-rtx-3050-4gb-15-6-fhd-win11-black.html
ASUS,TUF Gaming A15 FA506NCR-HN007W,"36,999",AMD Ryzen 7 7435HS,8,4.5,"23,314",NVIDIA GeForce RTX 3050,4,8,512GB,15.6,144Hz,1920x1080,1,1,1,RAYA,https://www.rayashop.com/en/asus-tuf-gaming-a15-fa506ncr-hn007w-gaming-laptop-amd-ryzen-7-7435hs-processor-156-inch-fhd-display-512-gb-ssd-8-gb-ram-ddr5-nvidia-geforce-rtx-3050-4-gb-graphics-win11-black-90nr0jv7-m001t0-21
Lenovo,Lenovo LOQ 15IAX9 83GS008NED,"36,999",Intel Core i5 12450HX,8,4.4,"18,233",NVIDIA GeForce RTX 3050,6,8,512GB,15.6,60Hz,1920x1080,1,2,0,2B,https://2b.com.eg/en/offer/lenovo-loq-15iax9-laptop-intelr-coretm-i5-12450hx-8gb-512gb-ssd-nvidiar-geforce-rtxtm-3050-6gb-15-6-fhd-luna-grey.html
